"School Year",State,"NCES LEA ID",LEA,School,"NCES SCH ID","Data Group","Data Description",Value,Numerator,Denominator,Population,Subgroup,Characteristics,Age/Grade,"Academic Subject",Outcome,"Program Type"
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",55%,,1272,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.9%,,4537,"All Students","Asian/Pacific Islander",,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.3%,,4485,"All Students",Asian,,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",60%,,52,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.5%,,7759,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.5%,,3351,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.5%,,45923,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65.6%,,10937,"All Students","Children with disabilities",,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71.1%,,29387,"All Students","Economically Disadvantaged",,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65.0%,,5340,"All Students","English Learner",,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",42%,,861,"All Students","Foster care students",,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",49%,,2629,"All Students",Homeless,,,,,
2021-2022,MINNESOTA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69.0%,,7277,"All Students",Hispanic/Latino,,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.9%,,32681,"All Students","All Students in SEA",,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91%,,86,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93%,,408,"All Students","Asian/Pacific Islander",,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94%,,385,"All Students",Asian,,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78%,,23,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.9%,,15783,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87%,,708,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.3%,,14341,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67.1%,,3564,"All Students","Children with disabilities",,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90.3%,,31840,"All Students","Economically Disadvantaged",,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67%,,444,"All Students","English Learner",,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",64%,,105,"All Students","Foster care students",,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71%,,548,"All Students",Homeless,,,,,
2021-2022,MISSISSIPPI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,1355,"All Students",Hispanic/Latino,,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.8%,,66405,"All Students","All Students in SEA",,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,313,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94%,,1661,"All Students","Asian/Pacific Islander",,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.1%,,10027,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88%,,2533,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92.2%,,47152,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78.1%,,7701,"All Students","Children with disabilities",,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.7%,,23672,"All Students","Economically Disadvantaged",,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73%,,1377,"All Students","English Learner",,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,467,"All Students","Foster care students",,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,2688,"All Students",Homeless,,,,,
2021-2022,MISSOURI,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.5%,,4719,"All Students",Hispanic/Latino,,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.8%,,10864,"All Students","All Students in SEA",,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,1232,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,139,"All Students","Asian/Pacific Islander",,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93%,,107,"All Students",Asian,,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75%,,32,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84%,,109,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82%,,332,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.8%,,8524,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,1431,"All Students","Children with disabilities",,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.4%,,4942,"All Students","Economically Disadvantaged",,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67%,,528,"All Students","English Learner",,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68%,,50,"All Students","Foster care students",,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",64%,,690,"All Students",Homeless,,,,,
2021-2022,MONTANA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80%,,528,"All Students",Hispanic/Latino,,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.1%,,24420,"All Students","All Students in SEA",,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70%,,297,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90%,,705,"All Students","Asian/Pacific Islander",,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90%,,674,"All Students",Asian,,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",>=90%,,31,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74%,,1569,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82%,,870,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92.0%,,16049,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65.8%,,3005,"All Students","Children with disabilities",,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.0%,,10452,"All Students","Economically Disadvantaged",,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",53%,,1161,"All Students","English Learner",,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",54%,,261,"All Students","Foster care students",,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",61%,,248,"All Students",Homeless,,,,,
2021-2022,NEBRASKA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.0%,,4930,"All Students",Hispanic/Latino,,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.7%,,36918,"All Students","All Students in SEA",,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,311,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91%,,2964,"All Students","Asian/Pacific Islander",,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",93%,,2380,"All Students",Asian,,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84%,,584,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68.4%,,4169,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82%,,2217,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.1%,,11144,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65.9%,,4224,"All Students","Children with disabilities",,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.5%,,31184,"All Students","Economically Disadvantaged",,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72.6%,,5057,"All Students","English Learner",,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",47%,,305,"All Students","Foster care students",,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67%,,760,"All Students",Homeless,,,,,
2021-2022,NEVADA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.7%,,16113,"All Students",Hispanic/Latino,,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",87.7%,,13585,"All Students","All Students in SEA",,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72%,,29,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95%,,482,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95%,,467,"All Students",Asian,,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",>=50%,,15,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79%,,302,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,343,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88.6%,,11548,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73%,,2191,"All Students","Children with disabilities",,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73.3%,,3654,"All Students","Economically Disadvantaged",,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68%,,349,"All Students","English Learner",,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",46%,,112,"All Students","Foster care students",,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",59%,,424,"All Students",Homeless,,,,,
2021-2022,"NEW HAMPSHIRE",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,881,"All Students",Hispanic/Latino,,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.2%,,106822,"All Students","All Students in SEA",,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,125,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95.9%,,11044,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",96.0%,,10827,"All Students",Asian,,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",90%,,217,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",77.8%,,15302,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",84%,,1753,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.1%,,47547,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",48.5%,,18808,"All Students","Children with disabilities",,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",78.7%,,45186,"All Students","Economically Disadvantaged",,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",70.3%,,7329,"All Students","English Learner",,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",44%,,336,"All Students","Foster care students",,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",60%,,1417,"All Students",Homeless,,,,,
2021-2022,"NEW JERSEY",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.3%,,31051,"All Students",Hispanic/Latino,,,,,
2021-2022,"NEW MEXICO",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",MISSING,,0,"All Students",Missing,,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.7%,,205955,"All Students","All Students in SEA",,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82%,,1482,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92.3%,,20350,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92.5%,,19765,"All Students",Asian,,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,585,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.5%,,34726,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.7%,,3975,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",91.5%,,91907,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",66.2%,,35047,"All Students","Children with disabilities",,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.6%,,108238,"All Students","Economically Disadvantaged",,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",60.7%,,13789,"All Students","English Learner",,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",49%,,717,"All Students","Foster care students",,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69.4%,,7869,"All Students",Homeless,,,,,
2021-2022,"NEW YORK",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.4%,,53515,"All Students",Hispanic/Latino,,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.4%,,113481,"All Students","All Students in SEA",,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,1200,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",95.6%,,3733,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.4%,,27302,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",83.5%,,5165,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.9%,,55004,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71.0%,,14448,"All Students","Children with disabilities",,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",79.5%,,32533,"All Students","Economically Disadvantaged",,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",66.9%,,7202,"All Students","English Learner",,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",53%,,749,"All Students","Foster care students",,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",67.8%,,4310,"All Students",Homeless,,,,,
2021-2022,"NORTH CAROLINA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",80.2%,,20945,"All Students",Hispanic/Latino,,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85.1%,,8018,"All Students","All Students in SEA",,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",65%,,848,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",85%,,211,"All Students","Asian/Pacific Islander",,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",88%,,166,"All Students",Asian,,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73%,,45,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",72%,,478,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.7%,,6031,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",66%,,892,"All Students","Children with disabilities",,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,1795,"All Students","Economically Disadvantaged",,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",73%,,241,"All Students","English Learner",,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",55%,,31,"All Students","Foster care students",,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",54%,,170,"All Students",Homeless,,,,,
2021-2022,"NORTH DAKOTA",,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74%,,450,"All Students",Hispanic/Latino,,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",86.2%,,134402,"All Students","All Students in SEA",,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76%,,200,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",94.2%,,3460,"All Students","Asian/Pacific Islander",,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75.4%,,20902,"All Students","Black (not Hispanic) African American",,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",82.2%,,6453,"All Students",Multicultural/Multiethnic/Multiracial/other,,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89.5%,,94966,"All Students","White or Caucasian (not Hispanic)",,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",68.2%,,21432,"All Students","Children with disabilities",,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.8%,,54680,"All Students","Economically Disadvantaged",,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",71.0%,,4575,"All Students","English Learner",,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",61%,,2758,"All Students","Foster care students",,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",58.9%,,4934,"All Students",Homeless,,,,,
2021-2022,OHIO,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",76.3%,,8421,"All Students",Hispanic/Latino,,,,,
2021-2022,OKLAHOMA,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",MISSING,,0,"All Students",Missing,,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",81.3%,,46486,"All Students","All Students in SEA",,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",69%,,621,"All Students","American Indian/Alaska Native/Native American",,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",89%,,2312,"All Students","Asian/Pacific Islander",,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",92%,,1934,"All Students",Asian,,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",75%,,378,"All Students","Native Hawaiian or Other Pacific Islander",,,,,
2021-2022,OREGON,,,,,695|696,"Four-Year Adjusted-Cohort Graduation Rate and Cohort Count",74%,,1018,"All Students","Black (not Hispanic) African American",,,,,
